term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,coef_cluster_modelpersona,se_cluster_modelpersona,p_cluster_modelpersona,ci_low_cluster_modelpersona,ci_high_cluster_modelpersona,p_hc3_bh_adj,p_cluster_bh_adj,p_cluster_modelpersona_bh_adj
"C(country)[T.Italy]:C(model, Treatment(reference=""llama""))[T.gemma]",-0.1063492063492712,0.017825809698476,2.4310472010787247e-09,-0.141287151353549,-0.0714112613449934,-0.1063492063492712,0.0109852874579661,3.6293996229399695e-22,-0.1278799741267044,-0.084818438571838,,,,,,"not_attempted (pooled model, see docstring)",-0.1063492063492712,0.0109773024181929,3.387711862497636e-22,-0.1278643237363338,-0.0848340889622086,7.753069452088905e-09,1.317751247713589e-21,1.2895161283055518e-21
"C(country)[T.Italy]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.1529100529100831,0.0145346841609692,6.961000910952817e-26,-0.1813975103922477,-0.1244225954279186,-0.1529100529100831,0.0097871304000461,5.02972197361544e-55,-0.1720924760061707,-0.1337276298139955,,,,,,"not_attempted (pooled model, see docstring)",-0.1529100529100831,0.0096043255461427,4.5338962513406034e-57,-0.1717341850763208,-0.1340859207438454,4.212297987140679e-25,3.2081469885763343e-54,2.9722208758788396e-56
"C(country)[T.Italy]:C(model, Treatment(reference=""llama""))[T.qwen]",-0.0968253968254309,0.0160586681177137,1.6448942735943782e-09,-0.1282998079758315,-0.0653509856750303,-0.0968253968254309,0.0111451472417872,3.699382074141075e-18,-0.1186694840217299,-0.0749813096291319,,,,,,"not_attempted (pooled model, see docstring)",-0.0968253968254309,0.010762825573361,2.3349442111675233e-19,-0.1179201473211052,-0.0757306463297566,5.391597896781573e-09,1.1798029317530997e-17,7.65342824771577e-19
C(country)[T.Japan],0.0121693121693415,0.0102694964565113,0.2360190305028808,-0.0079585310247823,0.0322971553634654,0.0121693121693415,0.0077282423571373,0.1153361987469716,-0.0029777645144445,0.0273163888531276,,,,,,"not_attempted (pooled model, see docstring)",0.0121693121693415,0.0077277056301545,0.1153109426521854,-0.0029767125488888,0.0273153368875719,0.2813156121145448,0.13678061760947385,0.13675066565786811
"C(country)[T.Japan]:C(model, Treatment(reference=""llama""))[T.gemma]",-0.1164021164021448,0.0165557532081015,2.051814500120005e-12,-0.1488507964269573,-0.0839534363773323,-0.1164021164021448,0.0114516732387483,2.8517851647313583e-24,-0.1388469835128126,-0.0939572492914769,,,,,,"not_attempted (pooled model, see docstring)",-0.1164021164021448,0.0114609661460651,3.1033504728338926e-24,-0.1388651972764652,-0.0939390355278243,8.070470367138687e-12,1.1407140658925433e-23,1.2848959852435065e-23
"C(country)[T.Japan]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.0656084656085025,0.0131874132282887,6.521993795573132e-07,-0.0914553205851956,-0.0397616106318094,-0.0656084656085025,0.0101697061156285,1.1084864104550792e-10,-0.0855407233284911,-0.0456762078885139,,,,,,"not_attempted (pooled model, see docstring)",-0.0656084656085025,0.0100215086854079,5.879664305696916e-11,-0.0852502617026574,-0.0459666695143477,1.655043586833612e-06,2.315068963428307e-10,1.2500907893193442e-10
"C(country)[T.Japan]:C(model, Treatment(reference=""llama""))[T.qwen]",0.0322751322750832,0.0145778759262872,0.0268301239511692,0.0037030204884668,0.0608472440616996,0.0322751322750832,0.0119905852633643,0.0071087545940693,0.0087740170053323,0.0557762475448341,,,,,,"not_attempted (pooled model, see docstring)",0.0322751322750832,0.011313764700405,0.0043345236035165,0.0101005609327286,0.0544497036174378,0.037028709078806614,0.009586663338287742,0.005947369595522639
C(country)[T.Kenya],0.0105820105820522,0.0116422916941758,0.363387875269493,-0.0122364618360422,0.0334004830001467,0.0105820105820522,0.0085190020541781,0.2141754999439749,-0.0061149266283595,0.027278947792464,,,,,,"not_attempted (pooled model, see docstring)",0.0105820105820522,0.0085184104088782,0.2141436765631139,-0.0061137670248801,0.0272777881889846,0.41833921250536754,0.2453661067319324,0.2441444814922458
"C(country)[T.Kenya]:C(model, Treatment(reference=""llama""))[T.gemma]",-0.0873015873016326,0.0192421545693153,5.706106208694487e-06,-0.1250155172424434,-0.0495876573608218,-0.0873015873016326,0.0138264963324718,2.717754499548342e-10,-0.1144010221456525,-0.0602021524576127,,,,,,"not_attempted (pooled model, see docstring)",-0.0873015873016326,0.0131587818268521,3.2566318775605065e-11,-0.113092325762683,-0.0615108488405822,1.2585430516372888e-05,5.577304886029641e-10,7.116343732447032e-11
"C(country)[T.Kenya]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.1137566137566569,0.0143932054483883,2.7119208646119683e-15,-0.1419667780575838,-0.08554644945573,-0.1137566137566569,0.0110385640602856,6.662679840068608e-25,-0.135391801755855,-0.0921214257574587,,,,,,"not_attempted (pooled model, see docstring)",-0.1137566137566569,0.0105485985685724,4.094522513671129e-27,-0.1344314870384296,-0.0930817404748841,1.230794853939278e-14,2.807843646886056e-24,1.8232213457101628e-26
"C(country)[T.Kenya]:C(model, Treatment(reference=""llama""))[T.qwen]",-0.0851851851852266,0.0157580128418996,6.45078951234183e-08,-0.1160703228232695,-0.0543000475471836,-0.0851851851852266,0.0118672552731427,7.065026958215937e-13,-0.1084445781159294,-0.0619257922545237,,,,,,"not_attempted (pooled model, see docstring)",-0.0851851851852266,0.0118729960487296,7.246589449788742e-13,-0.108455829829323,-0.0619145405411301,1.7702166568752e-07,1.832248749603254e-12,1.8589077284240686e-12
C(country)[T.Mexico],-0.0746031746031344,0.0126484272988577,3.6744952549230872e-09,-0.0993936365699689,-0.0498127126363,-0.0746031746031344,0.00902473505387,1.3792314091436708e-16,-0.0922913302787358,-0.056915018927533,,,,,,"not_attempted (pooled model, see docstring)",-0.0746031746031344,0.0090241082853771,1.3726078180885351e-16,-0.0922901018350632,-0.0569162473712056,1.1562411735491314e-08,4.120235601998814e-16,4.1004486717581555e-16
"C(country)[T.Mexico]:C(model, Treatment(reference=""llama""))[T.gemma]",0.1206349206348791,0.0187502866716987,1.2448203500356219e-10,0.0838850340585482,0.1573848072112099,0.1206349206348791,0.0123989859120979,2.2588090463347213e-22,0.0963333548023476,0.1449364864674105,,,,,,"not_attempted (pooled model, see docstring)",0.1206349206348791,0.0126093420731831,1.0993925576031297e-21,0.0959210643026945,0.1453487769670636,4.3202588618883347e-10,8.461570395793559e-22,3.991640670682132e-21
"C(country)[T.Mexico]:C(model, Treatment(reference=""llama""))[T.ministral]",0.0386243386242986,0.0155703458316988,0.0131148737494333,0.0081070215673356,0.0691416556812616,0.0386243386242986,0.0110198048514513,0.0004566193264337,0.0170259179987942,0.060222759249803,,,,,,"not_attempted (pooled model, see docstring)",0.0386243386242986,0.0115324544235409,0.0008104927136052,0.0160211433008086,0.0612275339477885,0.019589305094090244,0.0006611175523825349,0.0011522667494628144
"C(country)[T.Mexico]:C(model, Treatment(reference=""llama""))[T.qwen]",0.0645502645502268,0.016299491296661,7.486741255591433e-05,0.0326038486424471,0.0964966804580064,0.0645502645502268,0.011577220210559,2.4663953068688585e-08,0.0418593298964417,0.0872411992040118,,,,,,"not_attempted (pooled model, see docstring)",0.0645502645502268,0.0119270244016318,6.228942411473197e-08,0.0411737262802979,0.0879268028201556,0.0001472392446932982,4.7710597739430385e-08,1.1760243272861396e-07
C(country)[T.Morocco],-0.0037037037036621,0.0128162621994985,0.7725930849125674,-0.0288231160311013,0.021415708623777,-0.0037037037036621,0.0079371732359523,0.6407663724099033,-0.019260277385184,0.0118528699778596,,,,,,"not_attempted (pooled model, see docstring)",-0.0037037037036621,0.0079366219987053,0.640743180949565,-0.0192591969800328,0.0118517895727085,0.8139820001757406,0.6781204658687766,0.6805294657577227
"C(country)[T.Morocco]:C(model, Treatment(reference=""llama""))[T.gemma]",-0.1121693121693477,0.0198433385586187,1.579064417378754e-08,-0.1510615410772754,-0.0732770832614199,-0.1121693121693477,0.0119524053845596,6.31171775178577e-21,-0.1355955962517071,-0.0887430280869882,,,,,,"not_attempted (pooled model, see docstring)",-0.1121693121693477,0.0118633783547031,3.2274365183323248e-21,-0.1354211064795378,-0.0889175178591575,4.7172050949542525e-08,2.158790419451365e-20,1.1368283855618337e-20
"C(country)[T.Morocco]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.1248677248677599,0.0154112571978347,5.389823904239965e-16,-0.1550732339319997,-0.0946622158035202,-0.1248677248677599,0.0106600603952697,1.085648732437312e-31,-0.1457610593155104,-0.1039743904200095,,,,,,"not_attempted (pooled model, see docstring)",-0.1248677248677599,0.0101024773905196,4.2957219196087976e-35,-0.1446682167078087,-0.1050672330277112,2.5959151865319015e-15,5.22883879296338e-31,2.157000793675907e-34
"C(country)[T.Morocco]:C(model, Treatment(reference=""llama""))[T.qwen]",-0.1407407407407977,0.0167344351188073,4.0914652742592905e-17,-0.1735396308752824,-0.107941850606313,-0.1407407407407977,0.0119479694690975,4.980560239579559e-32,-0.164158330588613,-0.1173231508929823,,,,,,"not_attempted (pooled model, see docstring)",-0.1407407407407977,0.0112117191586969,3.827169318966782e-36,-0.1627153064966214,-0.118766174984974,2.1457462327226503e-16,2.5008770564697364e-31,1.9635042592960011e-35
C(country)[T.Nigeria],-0.0206349206348919,0.0136421886891001,0.1303860260466475,-0.0473731191358279,0.0061032778660439,-0.0206349206348919,0.0092658090378787,0.0259475341226002,-0.0387955726367601,-0.0024742686330238,,,,,,"not_attempted (pooled model, see docstring)",-0.0206349206348919,0.0092651655267806,0.025937198341391,-0.0387943113781841,-0.0024755298915998,0.16416064131953464,0.032229568699650775,0.0325594617477036
"C(country)[T.Nigeria]:C(model, Treatment(reference=""llama""))[T.gemma]",-0.1539682539682952,0.022696951813142,1.1717426383665603e-11,-0.1984534620808948,-0.1094830458556957,-0.1539682539682952,0.0129703236220311,1.67833685529544e-32,-0.1793896211353054,-0.1285468868012851,,,,,,"not_attempted (pooled model, see docstring)",-0.1539682539682952,0.0122219495494062,2.174366982898603e-36,-0.177922834905997,-0.1300136730305934,4.3893851215001305e-11,8.610597779341823e-32,1.1403346843646006e-35
"C(country)[T.Nigeria]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.1079365079365371,0.0164923578355484,5.963976425814546e-11,-0.1402609353143589,-0.0756120805587152,-0.1079365079365371,0.0108889733580201,3.674861837180834e-23,-0.1292785035468727,-0.0865945123262015,,,,,,"not_attempted (pooled model, see docstring)",-0.1079365079365371,0.0112013304328625,5.631683099100262e-22,-0.1298907121638801,-0.0859823037091941,2.1325733886245953e-10,1.4217498255322573e-22,2.0766831427932214e-21
