term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,p_hc3_bh_adj,p_cluster_bh_adj,p_mixedlm_bh_adj
C(profession)[T.architect],-0.0218253968253266,0.0108885718224441,0.0450238531718017,-0.0431666054403947,-0.0004841882102585,-0.0218253968253266,0.0080154619008736,0.0064709305832344,-0.0375354134704918,-0.0061153801801613,-0.0218253968339517,0.0114077097765179,0.0557205859001025,-0.0441840971420123,0.0005333034741089,converged (default),0.058726765006697865,0.008260762446682212,0.07389034217187507
C(profession)[T.bank teller],0.0027777777778087,0.0109222475038169,0.7992461012904699,-0.018629433959905,0.0241849895155225,0.0027777777778087,0.0083340199213883,0.7389034072931915,-0.0135566011145518,0.0191121566701693,0.0027777777692197,0.0114077097765179,0.8076180553252834,-0.0195809225388408,0.0251364780772803,converged (default),0.8563351085255034,0.791682222099848,0.8797268102650408
C(profession)[T.business manager],0.0003968253968573,0.0112854184375706,0.9719500321904126,-0.0217221882912454,0.0225158390849601,0.0003968253968573,0.0083121535510774,0.9619231495324424,-0.0158946961972211,0.0166883469909357,0.000396825388269,0.0114077097765179,0.9722506082191896,-0.0219618749197915,0.0227555256963297,converged (default),0.9719500321904126,0.9619231495324424,0.9722506082191896
C(profession)[T.cashier],-0.050793650793651,0.0108888634339604,3.0901660365577264e-06,-0.0721354309567887,-0.0294518706305134,-0.050793650793651,0.0077808502637198,6.66388166888487e-11,-0.0660438370796409,-0.0355434645076612,-0.050793650802207,0.0114077097765179,8.484771744349441e-06,-0.0731523511102677,-0.0284349504941464,converged (default),5.297427491241816e-06,1.1759791180385063e-10,1.4376974344592109e-05
C(profession)[T.chef],-0.0003968253967772,0.0105795992847528,0.9700795254410116,-0.0211324589657585,0.020338808172204,-0.0003968253967772,0.0081446026540351,0.9611404453511064,-0.0163599532670755,0.0155663024735209,-0.0003968254053833,0.0114077097765179,0.972250607022902,-0.0227555257134439,0.0219618749026773,converged (default),0.9719500321904126,0.9619231495324424,0.9722506082191896
C(profession)[T.civil engineer],0.001984126984003,0.0111174455947338,0.8583541289126826,-0.0198056659817588,0.0237739199497648,0.001984126984003,0.0079492971204743,0.802898408737757,-0.0135962090745346,0.0175644630425406,0.0019841269755702,0.0114077097765179,0.8619215766732446,-0.0203745733324903,0.0243428272836309,converged (default),0.887952547151051,0.832143053338333,0.9094091890768804
C(profession)[T.computer programmer],-0.0583333333333139,0.0108475257484874,7.54976977999387e-08,-0.0795940931217203,-0.0370725735449076,-0.0583333333333139,0.008240023859844,1.4491838322827294e-12,-0.074483483330359,-0.0421831833362688,-0.0583333333418882,0.0114077097765179,3.162423761117522e-07,-0.0806920336499488,-0.0359746330338275,converged (default),1.3726854145443398e-07,2.634879695059508e-12,6.062466225395159e-07
C(profession)[T.construction worker],-0.0650793650794212,0.0114309736019632,1.2464529325164776e-08,-0.0874836616474973,-0.0426750685113452,-0.0650793650794212,0.0085118535616935,2.0775734666005657e-14,-0.0817622915020195,-0.048396438656823,-0.065079365087922,0.0114077097765179,1.1644007674221314e-08,-0.0874380653959826,-0.0427206647798613,converged (default),2.4929058650329553e-08,4.1551469332011314e-14,2.5367302433125005e-08
C(profession)[T.doctor],0.0464285714285871,0.011672510157544,6.961447406639152e-05,0.0235508719106228,0.0693062709465514,0.0464285714285871,0.0083313506381802,2.5074285863305573e-08,0.0300994242351789,0.0627577186219953,0.0464285714200119,0.0114077097765179,4.7027421895292074e-05,0.0240698711119512,0.0687872717280725,converged (default),0.00010709919087137156,3.9250511265752555e-08,7.753169555710315e-05
C(profession)[T.electrician],-0.0734126984127354,0.011264047310071,7.151970131781413e-11,-0.09548982546063,-0.0513355713648408,-0.0734126984127354,0.0077273320360333,2.0909777411869537e-21,-0.0885579908999432,-0.0582674059255275,-0.0734126984212527,0.0114077097765179,1.2318249863599122e-10,-0.0957713987293133,-0.051053998113192,converged (default),1.716472831627539e-10,4.82533324889297e-21,2.8900509295367173e-10
