term,coef_logit,odds_ratio,se_original,z_original,p_original,se_cluster,z_cluster,p_cluster,p_original_bh_adj,p_cluster_bh_adj
C(profession)[T.elementary school teacher],2.168052727355498,8.741245868183066,0.1415080362374003,15.321057269979171,5.531045105475383e-53,0.1115798881915873,19.43049739961077,4.26211968783095e-84,2.673338467646435e-52,2.0600245157849594e-83
C(profession)[T.farmer],-1.226371702793477,0.2933550283017001,0.1580816727472838,-7.757836069675248,8.639071706450328e-15,0.1281831906395636,-9.567336377527797,1.0969533098215769e-21,1.565831746794122e-14,2.120776398988382e-21
C(profession)[T.flight attendant],0.6197768854669351,1.8585133342496505,0.1464554015190134,4.231847231571538,2.317798235595195e-05,0.1093684625821585,5.666870236941964,1.4542939310921726e-08,2.860261652436624e-05,1.7946605958158725e-08
C(profession)[T.hairdresser],-0.2964655872693957,0.7434412106660072,0.1510830514520188,-1.962268993246722,0.0497311751456144,0.1063723823502267,-2.787054127388958,0.0053189593910338,0.0565570227146203,0.0061699928935992085
C(profession)[T.janitor],-1.8874495037096173,0.1514576087058206,0.1654724346339046,-11.40642855642668,3.883491017667073e-30,0.1382580037455573,-13.65164730125266,1.9736600998878954e-42,1.1262123951234511e-29,6.024857147026208e-42
C(profession)[T.journalist],2.4306099715373137,11.365812788318474,0.141010489892999,17.237086215229077,1.3991335270083192e-66,0.1229743329607085,19.765181180644554,5.938477249692324e-87,9.016638285164724e-66,3.1311970952923163e-86
C(profession)[T.lawyer],2.2013410817542463,9.037124899743828,0.1414388802172918,15.56390349225289,1.2804568112390896e-54,0.0970137662268921,22.69101765007073,5.4951520190679965e-114,6.751499550169746e-54,3.541320190066042e-113
C(profession)[T.mechanic],-0.8439311737631459,0.4300167258337811,0.1548189011158323,-5.451086189610234,5.0063098144853296e-08,0.1130234879997301,-7.466865416197041,8.212768917658177e-14,7.259149231003728e-08,1.221386146728652e-13
C(profession)[T.paramedic],0.7517606224719958,2.120730537470913,0.145905919799907,5.152365466068462,2.5722113681817344e-07,0.1205230483171555,6.237484306684171,4.4466370005354225e-10,3.469494403593967e-07,5.86147604616033e-10
C(profession)[T.pharmacist],0.7718578928814547,2.163782597946752,0.1458244186115253,5.293063399331464,1.202841962382789e-07,0.1154302873925104,6.686788279897633,2.2812153445198705e-11,1.7015813126390675e-07,3.076988139119825e-11
C(profession)[T.plumber],-1.2263717027934773,0.2933550283017,0.1580816727472838,-7.757836069675249,8.639071706450232e-15,0.1307811209880635,-9.377283919331203,6.769402799712734e-21,1.565831746794122e-14,1.2665334270430278e-20
C(profession)[T.police officer],0.2521660581725661,1.2868097048117515,0.1481252277113352,1.702384273555241,0.08868335615678,0.1090003823024868,2.3134419608986363,0.0206983523062852,0.09525249364987481,0.022651027052161158
C(profession)[T.real estate agent],-0.1352370918985653,0.8735087852786927,0.1501457214830732,-0.9007055982864711,0.3677448713346842,0.1027966402450498,-1.315578909740463,0.1883154161108967,0.38780368249839425,0.19858716608058197
C(profession)[T.registered nurse],1.650904251825864,5.2116903776367645,0.1427937071609919,11.561463629237954,6.459824836783125e-31,0.1093878066710051,15.09221459016108,1.8222201632877524e-51,1.9719465291232696e-30,5.871598303927203e-51
C(profession)[T.social worker],3.563685723422126,35.29303809635282,0.1403688076254832,25.388017350196236,3.420396794783978e-142,0.1150472466760667,30.975845371217225,1.1403471362424004e-210,3.306383568291179e-141,1.3228026780411842e-209
C(profession)[T.truck driver],-1.4647564513966924,0.2311342770532681,0.1604607594724273,-9.12844022558916,6.949327289204153e-20,0.1388433443866637,-10.549705914008408,5.095633681785032e-26,1.4928184547179293e-19,1.055524119798328e-25
C(profession)[T.veterinarian],1.350727613062155,3.860233265247694,0.1437121206090994,9.398842681725975,5.5166501576969696e-21,0.1226071041790635,11.016715728718808,3.174304626342445e-28,1.2306373428708624e-20,6.818876604735622e-28
C(profession)[T.waiter],-0.7806027488141739,0.4581297908796288,0.1543359515670183,-5.0578153754098425,4.240867105257261e-07,0.1117659379084529,-6.984263393857638,2.8635439058791333e-12,5.590233911475481e-07,4.050866988804628e-12
C(age)[T.45],-0.4779949784673271,0.6200253104515312,0.0452388950395116,-10.566017981868178,4.282962782435824e-26,0.0393960642343851,-12.133064247827328,7.05588621350068e-34,1.182913530387037e-25,1.7793104364479976e-33
C(age)[T.65],-1.0492986576928218,0.3501832613434799,0.0472058870471678,-22.228131348201742,1.8362027549807722e-109,0.0398418968561266,-26.33656378063406,7.315805870402879e-153,1.521425139841211e-108,6.061667721190956e-152
C(topic)[T.economic redistribution],-4.033268630974863,0.0177163270748602,0.1445849292917459,-27.895498173509257,3.025583825868136e-171,0.1505863387891073,-26.783761816690173,4.9954118251786776e-158,3.509677238007038e-170,4.8288980976727215e-157
C(topic)[T.gender equality],4.92325712660104,137.4495755536514,0.0630629773505478,78.06889768673865,0.0,0.0595584730760683,82.66258136458663,0.0,0.0,0.0
C(topic)[T.lgbtq rights],0.1177524501362372,1.1249655918160344,0.0529726120828332,2.2228930291771873,0.0262230139409415,0.0573410574412841,2.0535451453230165,0.040019736001983,0.030418696171492145,0.04298416089101877
C(topic)[T.religion and secularism],-7.167746830976308,0.0007710580996793,0.5825712388624356,-12.30364005777644,8.658246287592442e-35,0.5967910364852633,-12.010480038691572,3.130227314245836e-33,2.7898793593353422e-34,7.26212736905034e-33
C(model)[T.qwen],-1.7197672085253426,0.179107837836468,0.0414968193961996,-41.44334996148746,0.0,0.0541879287204413,-31.73709069777735,4.785424865774569e-221,0.0,6.938866055373125e-220
