subset,term,coef,se_hc3,p_hc3,se_cluster,p_cluster
original_10,"C(model, Treatment(reference=""llama""))[T.ministral]",-0.12984126984074223,0.02058334884035426,2.8253071422994534e-10,0.015819984565989372,2.259904981457889e-16
original_10,"C(model, Treatment(reference=""llama""))[T.qwen]",-0.32100529100461245,0.023530212997747744,2.244929554011507e-42,0.01916150224811841,5.418993348412398e-63
original_10,"C(topic)[T.economic redistribution]:C(model, Treatment(reference=""llama""))[T.gemma]",-0.29222222222223904,0.01067476292948156,5.435594479466659e-165,0.009253906194686436,7.342925069168496e-219
original_10,"C(topic)[T.gender equality]:C(model, Treatment(reference=""llama""))[T.gemma]",0.5507407407406876,0.010477912222817704,0.0,0.010839737880800004,0.0
original_10,"C(topic)[T.immigration]:C(model, Treatment(reference=""llama""))[T.gemma]",0.20592592592590764,0.011416998881972753,1.0021119171411732e-72,0.011489501116729382,7.805486354093761e-72
original_10,"C(topic)[T.lgbtq rights]:C(model, Treatment(reference=""llama""))[T.gemma]",-0.06222222222224739,0.017910830789079606,0.0005127614540372604,0.016233937778096518,0.00012666802643547417
original_10,"C(topic)[T.religion and secularism]:C(model, Treatment(reference=""llama""))[T.gemma]",0.1311111111110999,0.014971055835973076,1.993815060931381e-18,0.01046215757269612,4.992746514040893e-36
original_10,"C(topic)[T.trust in government]:C(model, Treatment(reference=""llama""))[T.gemma]",-0.8833333333333511,0.014461660203833842,0.0,0.01299932779167039,0.0
original_10,"C(topic)[T.economic redistribution]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.8988888888888841,0.007063953746046059,0.0,0.005810477693799448,0.0
original_10,"C(topic)[T.gender equality]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.2955555555555475,0.0098787803268617,1.1402675086706094e-196,0.011858619026817641,4.1632029626311384e-137
original_10,"C(topic)[T.immigration]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.560000000000032,0.011104541357127556,0.0,0.010260952813389554,0.0
original_10,"C(topic)[T.lgbtq rights]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.41370370370367204,0.01225643086672103,9.335960634338993e-250,0.010231499620442246,0.0
original_10,"C(topic)[T.religion and secularism]:C(model, Treatment(reference=""llama""))[T.ministral]",0.09444444444443167,0.011984382340340308,3.2574291546896534e-15,0.011628825624252924,4.601511245578566e-16
original_10,"C(topic)[T.trust in government]:C(model, Treatment(reference=""llama""))[T.ministral]",0.061481481481472006,0.011769468162105622,1.7527734606751297e-07,0.012533472169653148,9.324520348512382e-07
original_10,"C(topic)[T.economic redistribution]:C(model, Treatment(reference=""llama""))[T.qwen]",-0.5762962962963011,0.010643118680633952,0.0,0.010098794109729288,0.0
original_10,"C(topic)[T.gender equality]:C(model, Treatment(reference=""llama""))[T.qwen]",0.0025925925925987256,0.012507243557379933,0.8357855015578122,0.012594726597839601,0.8369100602528812
original_10,"C(topic)[T.immigration]:C(model, Treatment(reference=""llama""))[T.qwen]",-0.4840740740741079,0.01162870403984605,0.0,0.012492356854329265,0.0
original_10,"C(topic)[T.lgbtq rights]:C(model, Treatment(reference=""llama""))[T.qwen]",-0.007777777777784463,0.013269929017799111,0.5577945235206555,0.011722621615842185,0.5070203013160846
original_10,"C(topic)[T.religion and secularism]:C(model, Treatment(reference=""llama""))[T.qwen]",0.3485185185185201,0.014135973412552249,3.274955117594678e-134,0.01273627795833107,7.311652412086697e-165
original_10,"C(topic)[T.trust in government]:C(model, Treatment(reference=""llama""))[T.qwen]",0.2537037037036889,0.013089983749583691,1.1054626840141593e-83,0.015601543454627345,1.853031715392756e-59
original_10,"C(profession)[T.administrative assistant]:C(model, Treatment(reference=""llama""))[T.gemma]",0.1142857142857045,0.032287113250547415,0.00040062820692856645,0.023255781295005978,8.910358593911421e-07
original_10,"C(profession)[T.architect]:C(model, Treatment(reference=""llama""))[T.gemma]",0.1079365079365114,0.03193955322304933,0.000726443804647177,0.021702506695075008,6.576899071250902e-07
original_10,"C(profession)[T.bank teller]:C(model, Treatment(reference=""llama""))[T.gemma]",0.02857142857142435,0.032851636624584256,0.3844583787936653,0.024458880076261055,0.24274976360848588
original_10,"C(profession)[T.business manager]:C(model, Treatment(reference=""llama""))[T.gemma]",0.038095238095234824,0.03315276819164118,0.25052230770693296,0.021913055966376646,0.0821276485956116
original_10,"C(profession)[T.cashier]:C(model, Treatment(reference=""llama""))[T.gemma]",0.08095238095238315,0.03255538012733903,0.012896839431870364,0.023189888154273277,0.00048148961310628307
original_10,"C(profession)[T.chef]:C(model, Treatment(reference=""llama""))[T.gemma]",0.15396825396824412,0.03141890735339337,9.55946300343436e-07,0.021784977247110544,1.5759711924274516e-12
original_10,"C(profession)[T.civil engineer]:C(model, Treatment(reference=""llama""))[T.gemma]",0.0841269841269847,0.03305972912432244,0.010937268702650535,0.02235354406198761,0.00016756908885772376
original_10,"C(profession)[T.computer programmer]:C(model, Treatment(reference=""llama""))[T.gemma]",0.09365079365079612,0.0319134423833341,0.003340586702654902,0.023123847720694635,5.1225107229083175e-05
