model,topic,term,coef,se_hc3,p_hc3,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster
llama,immigration,C(country)[T.South Africa],-9.71445146547012e-17,0.020922247123385165,0.9999999999999963,0.020819319957354327,0.9999999999999962,-0.04080511729903055,0.04080511729903036
llama,immigration,C(country)[T.South Korea],-0.08888888888888999,0.022378726890324555,7.12638881669014e-05,0.022268634560154824,6.56115143316727e-05,-0.1325346106116774,-0.045243167166102584
llama,immigration,C(country)[T.Turkey],-0.12222222222222347,0.02337224135030887,1.7008375519556767e-07,0.023257261417618563,1.4784082903743258e-07,-0.1678056169797888,-0.07663882746465812
llama,immigration,C(country)[T.USA],-0.14814814814814947,0.02381456961694412,4.942989782566923e-10,0.023697413646724313,4.061154807741085e-10,-0.19459422542247712,-0.10170207087382183
llama,immigration,C(profession)[T.administrative assistant],-0.12777777777777533,0.029864683678705168,1.881080758507804e-05,0.029717764122821715,1.7102148808059828e-05,-0.18602352515956244,-0.06953203039598821
llama,immigration,C(profession)[T.architect],-0.01666666666666281,0.026822389245575732,0.5343552579746291,0.026690436282065737,0.5323364331915692,-0.06897896051117279,0.03564562717784718
llama,immigration,C(profession)[T.bank teller],-0.03333333333333144,0.027246320934241324,0.22117609975397612,0.02711228243531749,0.21890123040300136,-0.08647243044523162,0.019805763778568748
llama,immigration,C(profession)[T.business manager],0.027777777777768554,0.025310826035982108,0.2724376188334824,0.02518630922005788,0.27007408896151375,-0.021586481197033984,0.07714203675257109
llama,immigration,C(profession)[T.cashier],-0.15555555555555767,0.03033318747289255,2.9247931475582543e-07,0.030183963108757258,2.555560471081143e-07,-0.21471503615940754,-0.0963960749517078
llama,immigration,C(profession)[T.chef],0.033333333333327324,0.025150711362600824,0.18505722746422237,0.025026982232122963,0.182894420720617,-0.015718650483357535,0.08238531715001218
llama,immigration,C(profession)[T.civil engineer],0.04999999999999605,0.024817285976993442,0.04393349864478363,0.024695197135430325,0.04289969992735537,0.0015983030234359014,0.0984016969765562
llama,immigration,C(profession)[T.computer programmer],-0.03333333333333473,0.027257658140229145,0.22136825581753206,0.027123563867827608,0.2190929099146428,-0.08649454164664877,0.01982787497997931
