model,topic,term,coef,se_hc3,p_hc3,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster
llama,gender equality,C(country)[T.Turkey],-0.18148148148148038,0.02123392358973433,1.2658003993613147e-17,0.021129463128776033,8.771063572146093e-18,-0.2228944682265484,-0.14006849473641236
llama,gender equality,C(country)[T.USA],0.02222222222222277,0.02518506105013265,0.377583624360063,0.025061162936086557,0.375229929484691,-0.026896754543196958,0.0713411989876425
llama,gender equality,C(profession)[T.administrative assistant],-0.01666666666666572,0.021012475659469673,0.42767320154675137,0.020909104613418043,0.4253924181286094,-0.05764775865794537,0.024314425324613934
llama,gender equality,C(profession)[T.architect],0.10000000000000445,0.023444593642349777,1.995660965793232e-05,0.02332925777196754,1.8154043148272877e-05,0.05427549498089692,0.14572450501911197
llama,gender equality,C(profession)[T.bank teller],-0.03888888888888742,0.021233807674530227,0.0670317759684663,0.02112934778381782,0.06569261307740727,-0.08030164956199155,0.0025238717842167163
llama,gender equality,C(profession)[T.business manager],0.005555555555544386,0.01958101296491259,0.7766237704972575,0.019484684011307374,0.775548966141651,-0.0326337233567615,0.04374483446785027
llama,gender equality,C(profession)[T.cashier],-0.08333333333333748,0.023511880800423858,0.0003936459782891637,0.0233962139103163,0.000368279025627657,-0.12918906997215246,-0.037477596694522504
llama,gender equality,C(profession)[T.chef],0.033333333333326304,0.020335176516771487,0.10117251494362,0.02023513744939759,0.09949648509148436,-0.006326807289710662,0.07299347395636327
llama,gender equality,C(profession)[T.civil engineer],0.044444444444439846,0.02087274190808993,0.033228991874120456,0.020770058283372046,0.032368310750402356,0.003735878252232816,0.08515301063664688
llama,gender equality,C(profession)[T.computer programmer],0.08888888888888662,0.022903252433899474,0.00010400232583987239,0.022790579696024243,9.609462036385105e-05,0.04422017349788929,0.13355760427988395
llama,gender equality,C(profession)[T.construction worker],-0.016666666666668828,0.018669027175862232,0.37199414764190264,0.018577184743813282,0.36963470626786743,-0.05307727969868981,0.019743946365352157
llama,gender equality,C(profession)[T.doctor],0.1499999999999983,0.02542498138012017,3.6414250058769855e-09,0.025299902976046774,3.0501439010328835e-09,0.10041310135458889,0.1995868986454077
llama,gender equality,C(profession)[T.electrician],3.9968028886505635e-15,0.01874319607225507,0.9999999999998299,0.01865098876571297,0.999999999999829,-0.036555266256854575,0.03655526625686257
llama,gender equality,C(profession)[T.elementary school teacher],0.16111111111110754,0.02602077982545368,5.954417924444705e-10,0.025892770386049823,4.90096953771176e-10,0.11036221369448462,0.21186000852773046
llama,gender equality,C(profession)[T.farmer],-0.11111111111110672,0.024427055906635214,5.398082805231716e-06,0.02430688680509901,4.849896232473637e-06,-0.15875173382539265,-0.06347048839682079
llama,gender equality,C(profession)[T.flight attendant],0.18888888888887856,0.026793852386574783,1.7929107022143438e-12,0.026662039810376684,1.3948419538455732e-12,0.1366322511061671,0.24114552667159
llama,gender equality,C(profession)[T.hairdresser],-0.04444444444444784,0.023528734463062712,0.05889943163152862,0.02341298466122357,0.05765896015936281,-0.09033305115103477,0.0014441622621390801
llama,gender equality,C(profession)[T.janitor],-0.23888888888889723,0.03016664107421199,2.3947569772604466e-15,0.030018236036449104,1.746651832240222e-15,-0.29772355039975984,-0.18005422737803461
