term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,p_hc3_bh_adj,p_cluster_bh_adj,p_mixedlm_bh_adj
C(country)[T.USA],-0.0506549088694676,0.0076446588019125,3.4447787055217876e-11,-0.0656381647953133,-0.0356716529436219,-0.0506549088694676,0.0057071775261386,6.952630874315909e-19,-0.0618407712740758,-0.0394690464648593,-0.0506549210579135,0.0072994406315793,3.933173897093337e-12,-0.0649615618030973,-0.0363482803127297,converged (lbfgs),5.439124271876507e-11,1.0428946311473864e-18,6.742583823588577e-12
C(gender)[T.male],-0.1099215198604433,0.0030330427980325,1.360689867123777e-287,-0.1158661745081557,-0.103976865212731,-0.1099215198604433,0.0020194289777473,0.0,-0.1138795279261647,-0.1059635117947219,-0.1099215139458944,0.0028721701535723,0.0,-0.115550864004367,-0.1042921638874218,converged (lbfgs),1.1663056003918087e-286,0.0,0.0
C(gender)[T.neutral],-0.0232517357620334,0.0028216748664474,1.7163271878820936e-16,-0.0287821168763523,-0.0177213546477145,-0.0232517357620334,0.0019622638162614,2.1662255183303076e-32,-0.027097702170072,-0.0194057693539948,-0.023251719623021,0.0028447064122097,2.991227901780787e-16,-0.0288272417375423,-0.0176761975084996,converged (lbfgs),3.6778439740330575e-16,4.6419118249935165e-32,6.647173115068415e-16
C(profession)[T.administrative assistant],0.0298303110212578,0.0083612618018686,0.0003601552209946,0.0134425390242848,0.0462180830182308,0.0298303110212578,0.0056180675059373,1.0979961050080577e-07,0.0188191010469058,0.0408415209956098,0.0298303132562255,0.0090933414581512,0.0010363915793894,0.0120076914991242,0.0476529350133268,converged (lbfgs),0.0003928966047213818,1.197813932736063e-07,0.0011306089956975272
C(profession)[T.architect],0.0594119825593647,0.0085795779673386,4.365483778958539e-12,0.0425963187408276,0.0762276463779019,0.0594119825593647,0.0056873601864102,1.523219568474442e-25,0.0482649614268937,0.0705590036918358,0.0594119877371368,0.0090235081766095,4.5754407878449566e-11,0.0417262366967795,0.0770977387774942,converged (lbfgs),7.70379490404448e-12,2.769490124498985e-25,7.625734646408261e-11
C(profession)[T.bank teller],-0.02658483707395,0.0087248991792699,0.002311316044527,-0.0436853252340623,-0.0094843489138378,-0.02658483707395,0.0060275879883011,1.0311954371857525e-05,-0.0383986924446665,-0.0147709817032336,-0.0265848356805404,0.0091169098225706,0.003545596452265,-0.0444536505830784,-0.0087160207780024,converged (lbfgs),0.0024764100477075,1.104852254127592e-05,0.0037988533417125
C(profession)[T.business manager],0.0339740529583228,0.0087555193547756,0.0001043271539606,0.0168135503570192,0.0511345555596264,0.0339740529583228,0.0057907747854578,4.439460025604512e-09,0.0226243429362428,0.0453237629804027,0.0339740549297996,0.0090689451153564,0.0001795356253744,0.0161992491259305,0.0517488607336687,converged (lbfgs),0.00011810621203086793,5.222894147770014e-09,0.00020324787778233964
C(profession)[T.cashier],-0.0382758983665135,0.0087570754620183,1.2376152531587026e-05,-0.055439450881969,-0.0211123458510581,-0.0382758983665135,0.0061955424031819,6.492950446985431e-10,-0.0504189383414409,-0.0261328583915862,-0.0382758973572446,0.009126487051142,2.7415605633198537e-05,-0.0561634832828542,-0.0203883114316351,converged (lbfgs),1.547019066448378e-05,8.114836098256634e-10,3.426950704149817e-05
C(profession)[T.chef],0.049904294938961,0.0086961589620189,9.54288830339244e-09,0.0328601365695686,0.0669484533083534,0.049904294938961,0.0056896964414156,1.7709544487717394e-18,0.0387526948308207,0.0610558950471013,0.0499042975868025,0.0091011057034977,4.1741109374001946e-08,0.0320664581884548,0.0677421369851503,converged (lbfgs),1.3632697576274916e-08,2.5916406567391307e-18,5.963015624857421e-08
C(profession)[T.civil engineer],0.0298773863041214,0.0082739226130165,0.000304982875554,0.0136607959717374,0.0460939766365054,0.0298773863041214,0.0055747334599593,8.348555030049876e-08,0.0189511094991908,0.040803663109052,0.0298773870672584,0.0090210243913718,0.0009264056529253,0.0121965041565123,0.0475582699780045,converged (lbfgs),0.00033886986172666664,9.276172255610973e-08,0.0010293396143614445
C(profession)[T.computer programmer],0.0372892558419111,0.0090380361487217,3.69425798828358e-05,0.0195750304994454,0.0550034811843768,0.0372892558419111,0.0064776419484661,8.582006974190378e-09,0.0245933109181716,0.0499852007656505,0.0372892622775802,0.0090791982994149,4.006411927181184e-05,0.0194943606022296,0.0550841639529307,converged (lbfgs),4.346185868568918e-05,9.902315739450435e-09,4.9058105230790014e-05
C(profession)[T.construction worker],-0.0756378235702322,0.0090117475374284,4.728963866307477e-17,-0.0933005241813596,-0.0579751229591048,-0.0756378235702322,0.0062901766761563,2.633731504977583e-33,-0.0879663433118925,-0.0633093038285719,-0.0756378213474872,0.0091409937676224,1.2891663646701556e-16,-0.0935538399149323,-0.057721802780042,converged (lbfgs),1.0508808591794393e-16,5.8527366777279616e-33,2.9749993030849743e-16
C(profession)[T.doctor],0.0585392724180053,0.0086621763014644,1.3987777435469084e-11,0.0415617188393985,0.0755168259966121,0.0585392724180053,0.0058076511829517,6.794621957909016e-24,0.0471564852646485,0.0699220595713621,0.0585392758084923,0.0090222462997192,8.679528184293164e-11,0.0408559980013928,0.0762225536155919,converged (lbfgs),2.3312962392448473e-11,1.1647923356415455e-23,1.4074910569124048e-10
C(profession)[T.electrician],-0.0355287667735744,0.0084515491388335,2.6245104013043272e-05,-0.0520934986992586,-0.0189640348478902,-0.0355287667735744,0.0060290812952447,3.794785095299161e-09,-0.0473455489721182,-0.0237119845750306,-0.0355287647180058,0.0091216679974598,9.820459844885514e-05,-0.0534069054719587,-0.0176506239640528,converged (lbfgs),3.149412481565193e-05,4.553742114358993e-09,0.00011331299821021746
C(profession)[T.elementary school teacher],0.0471951406102467,0.0088255433346179,8.914685380143529e-08,0.029897393530398,0.0644928876900955,0.0471951406102467,0.0061280945050237,1.3454332836908618e-14,0.0351842960865423,0.0592059851339511,0.0471951443314552,0.0090081109506409,1.612887899595745e-07,0.0295395712994581,0.0648507173634524,converged (lbfgs),1.2439095879270041e-07,1.8346817504875388e-14,2.2505412552498766e-07
C(profession)[T.farmer],-0.0646026820995048,0.0089003720631846,3.916237524555594e-13,-0.082047090792353,-0.0471582734066565,-0.0646026820995048,0.0058452858638744,2.141467720984432e-28,-0.0760592318720398,-0.0531461323269697,-0.064602678823213,0.0091656175351674,1.810236105020362e-12,-0.08256695908821,-0.0466383985582161,converged (lbfgs),7.120431862828352e-13,4.144776234163416e-28,3.2368187987990538e-12
C(profession)[T.flight attendant],0.0676686627073452,0.0089346267939849,3.6259157859713e-14,0.0501571159758282,0.0851802094388623,0.0676686627073452,0.0060048625796599,1.867251968323659e-29,0.0558993483190995,0.079437977095591,0.0676686690519573,0.0090883900625471,9.649257121054513e-14,0.0498557518519131,0.0854815862520016,converged (lbfgs),7.2518315719426e-14,3.734503936647318e-29,1.9963980250457613e-13
C(profession)[T.hairdresser],0.0132001826479962,0.0084412657215495,0.1178720219253763,-0.0033443941501734,0.0297447594461658,0.0132001826479962,0.006035526313636,0.0287366389444504,0.0013707684455257,0.0250295968504666,0.0132001845919298,0.0091089798243431,0.1472985638608462,-0.0046530877996847,0.0310534569835444,converged (lbfgs),0.12193657440556169,0.029727557528741795,0.152377824683634
