term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,inferential_status,analysis_note,p_hc3_bh_adj,p_cluster_bh_adj,p_mixedlm_bh_adj
C(profession)[T.construction worker],0.5535037535573528,0.5177304466268076,0.2850262363572706,-0.4612292755310267,1.5682367826457324,0.5535037535573528,0.3619267726322281,0.1261838320007921,-0.1558596858426313,1.262867192957337,0.4471805563167354,0.54206412029277,0.4093949920474357,-0.6152455967684811,1.509606709401952,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.4750437272621177,0.18927574800118818,0.6043449882605003
C(profession)[T.doctor],0.3990803861042796,2.790979027745615,0.8862985613684002,-5.071137989883741,5.869298762092301,0.3990803861042796,0.4050035894255514,0.3244399362851017,-0.3947120627792482,1.1928728349878075,0.3822416972660606,0.6903211984610258,0.5797734173138859,-0.9707629894820768,1.7352463840141985,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.9168605807259312,0.3893279235421223,0.6463556120077418
C(profession)[T.electrician],0.8501919549160144,0.5870997482429892,0.147582984634361,-0.3005024069727773,2.000886316804806,0.8501919549160144,0.5536682794532389,0.1246458469727466,-0.2349779321945919,1.9353618420266208,0.8884014476008647,0.412284176315942,0.0311753037832303,0.0803393106258567,1.6964635845758729,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.3430961293211418,0.18927574800118818,0.06339992360703485
C(profession)[T.janitor],1.5527872823888638,1.346402704082568,0.2487930470172842,-1.0861135263003092,4.191688091078037,1.5527872823888638,0.9072070121223452,0.0869680177467892,-0.2253057878931252,3.330880352670853,1.5563101223273792,0.5465689984646441,0.0044075518898833,0.4850545702705486,2.6275656743842095,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.45900561613890284,0.14494669624464868,0.01366341085863823
C(profession)[T.lawyer],1.808500229443026,1.6059180309751382,0.2601031824787116,-1.339041273391724,4.956041732277775,1.808500229443026,0.8552890691012542,0.0344734334140811,0.1321644576337779,3.484836001252274,1.8163157409838773,0.6047345723874279,0.0026690014420951,0.6310577588982884,3.001573723069466,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.45900561613890284,0.0689468668281622,0.0118198635292783
C(profession)[T.paramedic],0.3990803861042786,18.006306226800536,0.98231763873597,-34.89263131302408,35.690792085232644,0.3990803861042786,0.4050035894255507,0.3244399362851019,-0.3947120627792477,1.192872834987805,0.3822416972660608,0.6903211984610259,0.5797734173138858,-0.9707629894820772,1.7352463840141985,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.98231763873597,0.3893279235421223,0.6463556120077418
C(profession)[T.police officer],0.310326357328433,2.156687063949978,0.8855870922733453,-3.9167026139369567,4.537355328593823,0.310326357328433,0.2835120297661533,0.2737010529370934,-0.2453470101970753,0.8659997248539413,0.3320639886108418,0.6803715778561059,0.6255054309752339,-1.001439800091815,1.6655677773134987,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.9168605807259312,0.35700137339621335,0.6463556120077418
C(profession)[T.real estate agent],-0.0968427964143768,0.3853237579608438,0.8015602340047208,-0.8520634844052596,0.6583778915765061,-0.0968427964143768,0.337329038700464,0.7740456725769123,-0.7579955632068043,0.5643099703780508,-0.0930569411956702,0.3905182060060842,0.8116554660970305,-0.8584585602747887,0.6723446778834483,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.8906224822274675,0.7740456725769123,0.8116554660970305
C(topic)[T.religion and secularism],0.6893278491912845,0.3615095333724851,0.0565459642547321,-0.0192178162866669,1.397873514669236,0.6893278491912845,0.2814786808028712,0.0143272439661494,0.1376397724018111,1.2410159259807578,0.5467244442171425,0.2589817848255428,0.0347677000425675,0.0391294733071766,1.0543194151271085,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.21204736595524537,0.04101465200512064,0.06339992360703485
Group Var,,,,,,,,,,,1.0185463912996813,1.807051700671073,0.5729917111835441,-2.5232098602174755,4.560302642816838,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,,,0.6463556120077418
Intercept,2.092752078026958,1.0321939459514813,0.0426133976207581,0.0696891189017718,4.115815037152144,2.092752078026958,0.8607028110773425,0.0150387057352109,0.4058055669229847,3.7796985891309314,2.202885771081163,0.7250125564738397,0.0023782973138234,0.7818872720531254,3.623884270109201,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.183153070304892,0.04101465200512064,0.0118198635292783
