profession,topic,coef_llama,rank_llama,rank_label_llama,coef_gemma,rank_gemma,rank_label_gemma,coef_qwen,rank_qwen,rank_label_qwen,coef_ministral,rank_ministral,rank_label_ministral,r2_llama,reliability_llama,r2_gemma,reliability_gemma,r2_qwen,reliability_qwen,r2_ministral,reliability_ministral
construction worker,climate change,-2.6645352591003757e-15,3.0,tied for rank 3,-0.0166666666666701,16,tied for rank 16,-0.205555555555559,21,rank 21,-0.2500000000000024,13.0,rank 13,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
construction worker,economic redistribution,,,,0.2777777777777765,11,rank 11,-0.1555555555555576,25,rank 25,-8.881784197001252e-16,4.0,tied for rank 4,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
construction worker,gender equality,-0.0166666666666688,17.0,tied for rank 17,-0.105555555555556,12,rank 12,-0.2000000000000028,21,rank 21,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
construction worker,immigration,-0.0388888888888905,12.0,rank 12,0.0944444444444418,9,rank 9,-0.0500000000000016,21,rank 21,-0.1388888888888906,21.0,tied for rank 21,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
construction worker,lgbtq rights,-0.0611111111111144,19.0,rank 19,-0.3000000000000027,27,tied for rank 27,-0.3333333333333357,25,rank 25,-0.1888888888888913,22.0,rank 22,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
construction worker,religion and secularism,0.0222222222222205,9.0,rank 9,0.0999999999999976,3,rank 3,0.0388888888888869,3,rank 3,-1.1102230246251563e-15,1.0,tied for rank 1,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
construction worker,trust in government,-0.266666666666667,18.0,rank 18,-0.1555555555555576,20,rank 20,-0.0055555555555562,6,tied for rank 6,-1.1102230246251563e-15,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
doctor,climate change,-2.5363703759156602e-15,3.0,tied for rank 3,0.0888888888888867,6,rank 6,0.3277777777777763,1,rank 1,0.0388888888888867,1.0,tied for rank 1,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
doctor,economic redistribution,,,,0.1777777777777761,17,rank 17,0.711111111111112,2,rank 2,-1.8667176351344757e-15,4.0,tied for rank 4,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
doctor,gender equality,0.1499999999999983,4.0,tied for rank 4,0.0555555555555527,1,tied for rank 1,0.1833333333333313,3,rank 3,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
doctor,immigration,0.0388888888888869,3.0,rank 3,0.0222222222222191,17,tied for rank 17,0.3722222222222218,2,rank 2,0.2333333333333321,3.0,rank 3,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
doctor,lgbtq rights,0.1722222222222198,2.0,rank 2,0.488888888888886,4,rank 4,0.3055555555555534,1,rank 1,0.2055555555555532,6.0,rank 6,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
doctor,religion and secularism,0.0444444444444426,7.0,rank 7,-0.0333333333333354,14,tied for rank 14,0.0333333333333312,4,rank 4,-0.0055555555555574,2.0,tied for rank 2,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
