country,topic,coef_llama,rank_llama,rank_label_llama,coef_gemma,rank_gemma,rank_label_gemma,coef_qwen,rank_qwen,rank_label_qwen,coef_ministral,rank_ministral,rank_label_ministral,r2_llama,reliability_llama,r2_gemma,reliability_gemma,r2_qwen,reliability_qwen,r2_ministral,reliability_ministral
Morocco,lgbtq rights,-0.3074074074074088,16.0,tied for rank 16,-1.581481481481478,17,rank 17,-0.6333333333333342,17,rank 17,-0.7592592592592593,18.0,rank 18,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
Morocco,religion and secularism,0.722222222222219,2.0,rank 2,0.6777777777777731,1,rank 1,0.1629629629629596,6,rank 6,0.018518518518516,1.0,tied for rank 1,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
Morocco,trust in government,-0.1814814814814837,13.0,rank 13,0.0999999999999983,9,tied for rank 9,-0.0148148148148172,9,tied for rank 9,0.0037037037037011,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
Nigeria,climate change,-1.0720591081536668e-15,3.0,tied for rank 3,0.0703703703703687,3,rank 3,0.1148148148148142,7,rank 7,-6.03683769639929e-16,4.0,tied for rank 4,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
Nigeria,economic redistribution,,,,0.0333333333333329,1,rank 1,0.0148148148148153,8,rank 8,-0.0296296296296309,8.0,tied for rank 8,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
Nigeria,gender equality,-0.1370370370370355,11.0,rank 11,-0.0111111111111127,7,rank 7,-0.0222222222222231,8,rank 8,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
Nigeria,immigration,0.0037037037037028,7.0,rank 7,0.107407407407406,5,rank 5,0.0407407407407427,8,rank 8,-0.1037037037037021,5.0,rank 5,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
Nigeria,lgbtq rights,-0.6037037037037043,18.0,rank 18,-2.103703703703702,20,rank 20,-0.5222222222222219,15,rank 15,-0.7814814814814811,19.0,rank 19,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
Nigeria,religion and secularism,0.7962962962962961,1.0,rank 1,0.6629629629629612,3,tied for rank 3,0.2037037037037024,5,rank 5,0.0185185185185174,1.0,tied for rank 1,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
Nigeria,trust in government,-0.203703703703703,14.0,rank 14,0.0185185185185184,15,rank 15,-0.0148148148148158,9,tied for rank 9,-0.0037037037037047,3.0,tied for rank 3,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
